x,y,z
0.926776015,0.371705064,-2.43E-05
0.92340058,0.379634387,-2.48E-05
0.919956498,0.387535487,-2.52E-05
0.916443994,0.395407764,-2.57E-05
0.9128633,0.403250621,-2.61E-05
0.909214654,0.411063459,-2.66E-05
0.905498298,0.418845686,-2.70E-05
0.90171448,0.426596708,-2.75E-05
0.897863453,0.434315933,-2.79E-05
0.893945475,0.442002772,-2.83E-05
0.88996081,0.449656639,-2.88E-05
0.885909726,0.457276947,-2.92E-05
0.881792498,0.464863114,-2.96E-05
0.877609405,0.472414559,-3.01E-05
0.873360732,0.479930701,-3.05E-05
0.869046767,0.487410965,-3.09E-05
0.864667807,0.494854776,-3.13E-05
0.860224152,0.50226156,-3.18E-05
0.855716106,0.509630749,-3.22E-05
0.85114398,0.516961775,-3.26E-05
0.846508089,0.524254072,-3.30E-05
0.841808756,0.531507077,-3.34E-05
0.837046304,0.538720231,-3.38E-05
0.832221065,0.545892975,-3.42E-05
0.827333375,0.553024754,-3.46E-05
0.822383576,0.560115017,-3.50E-05
0.817372012,0.567163213,-3.54E-05
0.812299036,0.574168795,-3.58E-05
0.807165002,0.58113122,-3.62E-05
0.801970273,0.588049945,-3.66E-05
0.796715213,0.594924433,-3.70E-05
0.791400195,0.601754149,-3.74E-05
0.786025593,0.608538559,-3.77E-05
0.780591788,0.615277135,-3.81E-05
0.775099167,0.62196935,-3.85E-05
0.769548118,0.628614681,-3.89E-05
0.763939039,0.635212609,-3.92E-05
0.758272327,0.641762616,-3.96E-05
0.752548389,0.648264189,-4.00E-05
0.746767633,0.654716818,-4.03E-05
0.740930474,0.661119996,-4.07E-05
0.735037331,0.667473221,-4.10E-05
0.729088627,0.673775992,-4.14E-05
0.72308479,0.680027813,-4.17E-05
0.717026254,0.686228191,-4.21E-05
0.710913455,0.692376638,-4.24E-05
0.704746835,0.698472668,-4.28E-05
0.698526842,0.704515798,-4.31E-05
0.692253925,0.710505552,-4.34E-05
0.685928541,0.716441454,-4.38E-05
0.679551148,0.722323035,-4.41E-05
0.673122212,0.728149828,-4.44E-05
0.666642201,0.733921371,-4.47E-05
0.660111587,0.739637204,-4.50E-05
0.653530848,0.745296873,-4.53E-05
0.646900466,0.750899928,-4.57E-05
0.640220925,0.756445923,-4.60E-05
0.633492717,0.761934414,-4.63E-05
0.626716335,0.767364964,-4.66E-05
0.619892278,0.772737139,-4.69E-05
0.613021046,0.778050509,-4.71E-05
0.606103148,0.783304649,-4.74E-05
0.599139094,0.788499139,-4.77E-05
0.592129397,0.79363356,-4.80E-05
0.585074576,0.798707502,-4.83E-05
0.577975154,0.803720556,-4.85E-05
0.570831656,0.80867232,-4.88E-05
0.563644612,0.813562395,-4.91E-05
0.556414557,0.818390386,-4.93E-05
0.549142027,0.823155905,-4.96E-05
0.541827564,0.827858567,-4.98E-05
0.534471713,0.832497991,-5.01E-05
0.527075021,0.837073803,-5.03E-05
0.519638043,0.841585632,-5.06E-05
0.512161331,0.846033112,-5.08E-05
0.504645447,0.850415883,-5.11E-05
0.497090953,0.854733589,-5.13E-05
0.489498414,0.858985879,-5.15E-05
0.4818684,0.863172406,-5.17E-05
0.474201484,0.86729283,-5.20E-05
0.466498242,0.871346815,-5.22E-05
0.458759252,0.87533403,-5.24E-05
0.450985098,0.879254149,-5.26E-05
0.443176365,0.883106853,-5.28E-05
0.435333642,0.886891824,-5.30E-05
0.42745752,0.890608754,-5.32E-05
0.419548594,0.894257336,-5.34E-05
0.411607462,0.897837272,-5.36E-05
0.403634725,0.901348267,-5.37E-05
0.395630986,0.904790033,-5.39E-05
0.38759685,0.908162284,-5.41E-05
0.379532928,0.911464743,-5.43E-05
0.371439832,0.914697138,-5.44E-05
0.363318174,0.9178592,-5.46E-05
0.355168574,0.920950669,-5.47E-05
0.346991649,0.923971286,-5.49E-05
0.338788023,0.926920803,-5.50E-05
0.33055832,0.929798972,-5.52E-05
0.322303166,0.932605556,-5.53E-05
0.314023192,0.935340319,-5.55E-05
0.305719029,0.938003033,-5.56E-05
0.297391311,0.940593476,-5.57E-05
0.289040674,0.94311143,-5.58E-05
0.280667756,0.945556684,-5.60E-05
0.272273197,0.947929033,-5.61E-05
0.263857641,0.950228276,-5.62E-05
0.255421731,0.952454221,-5.63E-05
0.246966114,0.954606678,-5.64E-05
0.238491437,0.956685465,-5.65E-05
0.229998352,0.958690406,-5.66E-05
0.221487509,0.96062133,-5.67E-05
0.212959563,0.962478073,-5.68E-05
0.204415168,0.964260476,-5.68E-05
0.195854981,0.965968385,-5.69E-05
0.18727966,0.967601654,-5.70E-05
0.178689866,0.969160143,-5.71E-05
0.170086258,0.970643715,-5.71E-05
0.161469501,0.972052243,-5.72E-05
0.152840257,0.973385603,-5.72E-05
0.144199193,0.974643678,-5.73E-05
0.135546973,0.975826359,-5.73E-05
0.126884266,0.976933538,-5.74E-05
0.11821174,0.97796512,-5.74E-05
0.109530066,0.978921009,-5.74E-05
0.100839912,0.979801121,-5.75E-05
0.092141951,0.980605375,-5.75E-05
0.083436856,0.981333696,-5.75E-05
0.074725298,0.981986017,-5.75E-05
0.066007952,0.982562276,-5.75E-05
0.057285493,0.983062416,-5.75E-05
0.048558595,0.983486388,-5.75E-05
0.039827935,0.983834149,-5.75E-05
0.031094188,0.984105661,-5.75E-05
0.02235803,0.984300894,-5.75E-05
0.013620139,0.984419822,-5.75E-05
0.004881193,0.984462427,-5.75E-05
-0.003858132,0.984428696,-5.74E-05
-0.012597158,0.984318623,-5.74E-05
-0.021335207,0.984132208,-5.74E-05
-0.030071601,0.983869457,-5.73E-05
-0.038805663,0.983530382,-5.73E-05
-0.047536713,0.983115002,-5.72E-05
-0.056264075,0.982623342,-5.72E-05
-0.064987072,0.982055433,-5.71E-05
-0.073705024,0.981411311,-5.71E-05
-0.082417257,0.980691021,-5.70E-05
-0.091123093,0.979894612,-5.69E-05
-0.099821855,0.97902214,-5.68E-05
-0.108512868,0.978073667,-5.68E-05
-0.117195457,0.97704926,-5.67E-05
-0.125868946,0.975948996,-5.66E-05
-0.134532663,0.974772954,-5.65E-05
-0.143185933,0.97352122,-5.64E-05
-0.151828084,0.972193889,-5.63E-05
-0.160458444,0.97079106,-5.62E-05
-0.169076343,0.969312837,-5.61E-05
-0.177681111,0.967759332,-5.60E-05
-0.186272078,0.966130664,-5.58E-05
-0.194848578,0.964426955,-5.57E-05
-0.203409943,0.962648336,-5.56E-05
-0.211955508,0.960794943,-5.55E-05
-0.220484609,0.958866918,-5.53E-05
-0.228996583,0.956864409,-5.52E-05
-0.237490768,0.954787571,-5.50E-05
-0.245966505,0.952636564,-5.49E-05
-0.254423135,0.950411554,-5.47E-05
-0.262860001,0.948112715,-5.46E-05
-0.271276447,0.945740224,-5.44E-05
-0.27967182,0.943294267,-5.42E-05
-0.288045468,0.940775033,-5.41E-05
-0.29639674,0.93818272,-5.39E-05
-0.304724989,0.93551753,-5.37E-05
-0.313029567,0.932779671,-5.35E-05
-0.321309831,0.929969358,-5.33E-05
-0.329565137,0.92708681,-5.32E-05
-0.337794845,0.924132255,-5.30E-05
-0.345998318,0.921105924,-5.28E-05
-0.354174918,0.918008055,-5.26E-05
-0.362324013,0.914838891,-5.23E-05
-0.370444969,0.911598682,-5.21E-05
-0.37853716,0.908287684,-5.19E-05
-0.386599956,0.904906157,-5.17E-05
-0.394632735,0.901454367,-5.15E-05
-0.402634874,0.897932588,-5.12E-05
-0.410605755,0.894341098,-5.10E-05
-0.41854476,0.890680179,-5.08E-05
-0.426451275,0.886950122,-5.05E-05
-0.43432469,0.883151221,-5.03E-05
-0.442164396,0.879283777,-5.00E-05
-0.449969788,0.875348095,-4.98E-05
-0.457740263,0.871344488,-4.95E-05
-0.465475221,0.867273272,-4.93E-05
-0.473174066,0.86313477,-4.90E-05
-0.480836204,0.858929309,-4.87E-05
-0.488461044,0.854657223,-4.85E-05
-0.496048,0.85031885,-4.82E-05
-0.503596487,0.845914535,-4.79E-05
-0.511105924,0.841444626,-4.76E-05
-0.518575734,0.836909477,-4.74E-05
-0.526005343,0.832309449,-4.71E-05
-0.533394179,0.827644907,-4.68E-05
-0.540741676,0.82291622,-4.65E-05
-0.548047269,0.818123763,-4.62E-05
-0.555310399,0.813267916,-4.59E-05
-0.562530509,0.808349065,-4.56E-05
-0.569707046,0.803367601,-4.53E-05
-0.57683946,0.798323917,-4.49E-05
-0.583927206,0.793218415,-4.46E-05
-0.590969743,0.788051499,-4.43E-05
-0.597966532,0.782823579,-4.40E-05
-0.604917039,0.777535069,-4.36E-05
-0.611820735,0.77218639,-4.33E-05
-0.618677092,0.766777965,-4.30E-05
-0.62548559,0.761310224,-4.26E-05
-0.63224571,0.755783599,-4.23E-05
-0.638956938,0.750198529,-4.20E-05
-0.645618764,0.744555456,-4.16E-05
-0.652230683,0.738854828,-4.13E-05
-0.658792193,0.733097097,-4.09E-05
-0.665302797,0.727282717,-4.05E-05
-0.671762003,0.721412151,-4.02E-05
-0.678169321,0.715485863,-3.98E-05
-0.684524268,0.709504322,-3.94E-05
-0.690826365,0.703468001,-3.91E-05
-0.697075135,0.697377379,-3.87E-05
